,date,category,price
0,2021-10-26,매출액,1625418
1,2021-10-26,매출원가,1332310
2,2021-10-26,매출총이익,293108
3,2021-09-26,매출액,1771854
4,2021-09-26,매출원가,1452340
5,2021-09-26,매출총이익,319514
6,2021-08-27,매출액,1039671
7,2021-08-27,매출원가,852190
8,2021-08-27,매출총이익,187481
9,2021-03-27,매출액,1041123
10,2021-03-27,매출원가,853380
11,2021-03-27,매출총이익,187743
12,2021-02-27,매출액,1250326
13,2021-02-27,매출원가,1024858
14,2021-02-27,매출총이익,225468
15,2021-03-27,매출액,1074173
16,2021-03-27,매출원가,880470
17,2021-03-27,매출총이익,193703
18,2021-03-27,매출액,1773123
19,2021-03-27,매출원가,1453380
20,2021-03-27,매출총이익,319743
21,2021-04-27,매출액,1175147
22,2021-04-27,매출원가,963236
23,2021-04-27,매출총이익,211911
24,2021-03-02,매출액,1123089
25,2021-03-02,매출원가,920565
26,2021-03-02,매출총이익,202524
27,2021-04-28,매출액,1146678
28,2021-04-28,매출원가,939900
29,2021-04-28,매출총이익,206778
